study_hours,sleep_hours,exercise,screen_time,consistency,procrastination,goal_clarity,target
1.85,8.14,0,7.26,3,10,3,Negative
3.72,7.81,1,10.82,2,8,9,Negative
3.56,5.49,0,3.83,4,3,1,Average
2.13,6.73,0,3.98,10,8,6,Average
3.41,7.98,0,5.67,4,3,6,Average
5.9,7.41,1,7.16,2,2,5,Average
1.76,5.97,0,6.24,9,9,2,Negative
5.48,7.98,1,1.44,3,1,1,High
4.26,6.26,1,9.63,4,6,10,Average
4.17,7.09,0,0.5,2,10,5,Negative
5.09,7.17,1,4.39,5,8,8,Average
3.97,5.5,0,5.03,3,7,8,Average
8.1,5.32,0,5.33,1,8,10,Average
2.23,6.27,1,3.74,8,7,9,High
3.54,6.87,0,1.01,1,7,5,Negative
2.77,7.44,0,9.21,10,1,7,High
4.06,8.46,0,1.64,6,6,6,Average
2.96,6.76,0,5.15,1,5,10,Average
3.35,6.41,1,3.26,10,6,2,Average
7.9,4.96,0,2.22,7,3,10,High
4.66,6.67,1,5.83,6,3,3,Average
2.13,7.09,0,8.62,10,7,3,Average
3.46,5.8,0,4.26,2,7,8,Average
3.63,7.74,0,6.03,9,2,1,Average
3.88,5.39,1,2.33,1,2,10,High
4.17,7.37,0,2.66,6,3,2,Average
6.19,6.39,1,4.73,9,9,7,High
4.97,6.58,0,6.55,6,3,6,High
2.5,7.44,0,3.94,8,6,10,High
3.92,7.71,1,1.18,5,6,9,High
2.98,6.3,0,6.62,6,9,7,Average
3.85,6.06,0,7.25,5,1,5,Average
3.44,5.13,1,2.1,9,6,7,High
0.97,5.49,1,9.34,2,5,9,Negative
1.04,6.78,0,6.64,3,1,6,Average
0.05,8.12,1,5.7,6,9,1,Negative
5.66,7.68,0,10.23,10,5,7,High
4.57,5.18,1,7.36,8,4,3,Average
6.92,7.8,0,2.97,1,10,2,Negative
0.63,6.09,0,10.43,6,6,7,Negative
0.83,9.6,0,5.56,8,6,4,Average
4.74,7.13,1,7.58,8,2,8,High
5.53,7.09,1,4.84,9,10,3,Average
3.41,7.64,0,2.77,1,7,10,Average
5.28,7.17,0,3.11,6,1,6,High
4.73,7.54,1,9.35,7,8,3,Average
0.0,7.98,1,6.41,7,5,5,Average
3.84,7.07,1,4.64,3,2,6,High
4.64,7.53,1,4.11,5,3,8,High
6.41,7.08,0,4.96,10,4,4,High
4.38,7.78,0,3.95,10,4,4,High
2.89,10.0,1,3.41,6,5,6,Average
2.01,7.62,1,3.39,2,9,5,Negative
4.6,9.39,0,2.68,9,10,8,Average
3.95,7.53,0,7.9,2,7,3,Negative
2.35,8.36,1,4.18,2,2,10,High
1.97,4.81,0,6.73,2,10,3,Negative
5.84,7.8,0,3.82,5,9,10,High
2.38,7.66,0,6.74,9,5,1,Average
2.55,7.49,0,3.27,1,9,4,Negative
4.69,6.31,1,10.69,7,2,3,Average
2.81,5.71,1,3.38,3,10,3,Negative
5.6,8.09,0,6.18,9,10,1,Negative
1.92,5.26,1,4.33,2,5,6,Average
5.04,8.34,0,2.07,7,2,1,High
1.88,6.14,0,6.0,8,4,7,Average
5.14,6.45,1,6.32,1,1,9,High
8.3,6.5,0,6.88,9,3,5,High
3.24,4.89,1,3.28,10,10,4,Average
5.08,5.28,1,2.73,6,1,8,High
5.65,5.32,0,4.65,6,10,9,Average
5.13,7.67,0,7.48,6,3,6,High
4.9,9.34,1,5.5,4,2,6,High
7.77,6.69,1,4.23,8,4,1,High
4.86,7.56,1,0.96,3,2,2,High
0.54,7.78,0,6.49,5,4,5,Average
3.01,6.35,1,5.75,2,9,4,Negative
4.83,6.11,0,5.49,4,2,5,Average
4.1,5.05,0,5.03,4,5,8,Average
5.1,6.94,1,8.15,4,2,3,Average
4.74,6.71,1,8.62,8,2,4,High
5.88,7.48,1,3.23,6,9,6,Average
6.1,7.12,0,4.9,3,4,10,High
5.91,4.71,0,9.52,10,4,9,High
6.61,8.8,0,6.75,6,10,4,Negative
5.32,7.25,0,4.32,5,10,1,Negative
8.97,7.04,0,5.52,6,5,4,High
2.81,4.08,1,8.05,5,10,3,Negative
4.53,7.72,1,3.47,2,1,6,High
1.24,5.47,0,3.65,4,7,9,Average
4.33,9.22,0,3.1,2,8,8,Average
2.47,9.26,0,5.47,5,1,3,Average
3.93,3.81,1,6.11,4,1,7,High
6.93,6.78,0,2.53,2,3,4,Average
3.39,8.28,0,3.76,7,5,9,High
6.05,5.96,0,4.15,2,9,8,Average
3.79,6.22,1,3.43,9,7,8,High
1.0,7.08,0,4.9,6,9,3,Negative
4.38,6.76,1,5.04,7,3,5,High
4.76,8.43,0,6.36,3,2,3,Average
5.76,4.71,0,8.55,8,6,8,Average
3.63,7.53,1,5.37,3,1,9,High
5.38,4.65,1,6.08,1,7,6,Negative
3.11,7.9,0,5.9,6,4,6,Average
5.25,8.97,1,5.0,4,10,4,Negative
3.34,4.93,0,5.12,7,6,9,Average
6.14,8.16,1,9.2,1,3,4,Average
3.8,6.24,1,2.38,4,9,1,Negative
7.1,4.49,1,2.5,5,7,1,Average
3.09,7.0,0,4.03,3,5,5,Average
3.92,6.69,0,3.12,9,1,9,High
6.7,10.0,1,3.94,7,5,5,High
2.69,9.99,0,7.23,4,9,4,Negative
0.33,5.66,1,7.42,5,6,5,Negative
6.7,5.11,1,6.55,7,2,9,High
5.17,7.82,0,2.93,1,10,9,Average
0.68,4.4,1,6.95,8,7,10,Average
2.37,9.05,0,4.33,3,4,9,Average
1.83,7.58,0,3.01,1,3,2,Negative
7.01,7.24,1,6.77,1,3,3,Average
6.46,7.77,1,7.84,3,10,9,Average
0.83,6.14,0,5.22,3,4,6,Negative
2.89,6.74,1,8.12,4,4,10,Average
5.37,5.21,0,6.86,10,9,5,Average
3.76,7.27,1,6.58,9,10,1,Negative
5.47,5.57,0,0.5,3,10,1,Negative
10.0,6.25,0,3.47,7,5,7,High
3.82,6.98,0,3.6,4,4,8,High
1.31,7.46,1,8.4,8,9,5,Negative
2.67,7.6,0,5.64,6,10,8,Average
2.45,9.23,1,4.74,2,1,7,Average
4.58,6.75,1,6.94,5,2,5,High
4.83,5.2,1,0.5,4,3,9,High
4.83,6.51,0,4.59,1,5,6,Average
8.27,6.49,0,6.32,8,3,2,High
4.29,6.3,1,6.32,1,5,10,Average
2.51,5.24,1,4.07,2,7,5,Negative
3.26,6.49,1,4.51,5,3,5,Average
4.66,6.14,1,2.77,1,7,9,Average
5.68,6.87,0,7.44,3,2,7,High
6.87,6.53,1,4.64,6,8,6,High
0.3,6.19,0,7.68,1,8,6,Negative
8.31,7.31,1,5.33,8,6,3,High
6.77,7.31,0,8.27,8,7,10,High
1.35,8.16,0,5.29,7,10,6,Negative
0.96,7.01,1,5.6,4,1,8,High
4.61,10.0,1,4.75,6,4,3,Average
7.12,8.47,0,7.36,5,7,8,Average
3.16,6.09,1,1.89,6,2,5,High
5.0,7.17,1,4.57,4,6,7,Average
5.73,9.07,0,4.93,8,6,3,Average
2.4,4.06,1,6.73,5,10,10,Negative
3.96,5.7,1,0.64,2,9,7,Average
2.76,6.73,1,3.92,6,9,9,Average
4.65,3.19,1,7.77,3,6,4,Negative
3.18,8.51,1,9.34,5,6,2,Negative
4.88,8.47,1,10.99,4,7,5,Negative
1.26,6.31,1,4.8,2,5,10,Average
4.93,7.54,0,6.45,1,5,6,Average
2.04,6.82,1,5.82,10,3,6,High
1.27,5.84,1,5.08,2,7,6,Negative
5.53,5.81,0,4.94,8,4,8,High
7.41,7.47,1,5.49,8,5,1,High
3.62,7.8,1,5.33,2,8,10,Average
4.06,5.07,1,1.71,5,9,3,Negative
5.87,5.11,1,7.1,6,8,7,Average
4.31,6.43,0,4.24,3,4,7,Average
7.84,6.19,0,5.53,10,5,10,High
0.22,7.75,0,0.91,8,8,8,Average
8.19,8.05,1,3.81,2,8,10,High
4.53,5.7,1,5.03,6,1,5,High
3.39,8.08,0,5.26,8,7,7,Average
0.74,5.96,0,4.78,3,4,10,Average
2.92,6.99,1,8.66,2,10,5,Negative
4.18,5.25,1,5.43,7,6,4,Average
2.26,6.72,0,3.4,3,7,10,Average
5.62,6.95,0,5.6,5,5,4,Average
5.14,8.28,1,6.27,5,10,9,Average
4.46,7.19,1,7.25,9,8,7,High
5.69,7.28,1,5.83,7,7,7,High
3.63,6.29,0,4.46,1,5,4,Negative
3.28,6.72,0,3.73,2,1,7,Average
1.75,4.99,0,2.66,7,3,2,Average
5.47,9.34,1,4.38,2,7,5,Average
5.28,8.47,1,1.98,9,9,10,High
1.7,4.96,0,5.32,7,8,4,Negative
1.29,7.62,1,3.27,3,3,1,Average
4.82,7.74,0,4.8,5,8,10,Average
3.46,6.77,0,10.5,3,8,1,Negative
2.16,6.01,0,5.07,1,10,10,Negative
2.35,7.25,0,4.93,7,8,9,Average
4.55,9.55,0,6.1,7,3,9,High
3.71,8.47,1,8.68,8,3,10,High
4.88,8.25,0,4.72,7,7,3,Average
4.77,3.95,0,4.88,6,3,8,High
2.53,8.19,1,5.92,7,2,2,Average
4.52,7.61,0,6.97,8,5,9,High
2.85,6.57,0,11.97,10,10,7,Negative
4.2,6.53,0,5.28,5,1,9,High
7.01,7.8,1,4.13,1,10,2,Negative
2.75,8.89,0,5.67,10,1,3,High
3.59,6.85,0,4.4,8,1,8,High
1.96,8.4,0,5.27,10,2,9,High
4.59,4.29,0,8.77,9,4,9,High
2.14,8.64,0,5.97,10,10,10,Average
6.33,7.72,0,7.97,1,6,7,Average
6.92,4.92,0,3.55,1,9,4,Negative
3.79,7.44,0,6.5,7,9,10,Average
5.68,7.05,0,3.54,1,10,1,Negative
1.37,8.07,1,7.62,3,10,1,Negative
2.12,7.13,1,1.36,3,4,10,High
3.53,7.14,1,3.92,6,2,4,High
4.87,6.06,0,8.97,5,5,8,Average
5.11,7.6,0,6.19,1,8,7,Negative
4.1,7.91,1,3.77,8,7,4,Average
5.43,7.4,0,0.5,3,4,1,Average
4.61,4.9,0,2.18,3,10,2,Negative
3.08,6.99,1,5.26,4,1,10,High
7.64,4.93,0,3.93,3,5,5,Average
4.34,9.49,0,3.02,7,1,5,High
2.71,5.91,1,6.89,5,9,4,Negative
4.0,8.92,0,11.37,3,9,3,Negative
5.42,9.02,0,6.06,3,3,7,Average
6.0,8.29,0,1.84,4,7,6,Average
0.07,7.09,0,3.08,10,7,1,Average
2.01,8.29,1,8.45,7,2,4,Average
4.01,3.98,0,5.25,4,3,8,Average
6.45,6.19,1,7.49,7,4,6,High
3.61,5.21,1,5.83,10,4,9,High
5.23,6.26,0,2.6,6,7,3,Average
5.25,6.97,1,4.87,1,4,9,High
8.39,5.7,0,6.28,6,7,1,Average
6.06,5.61,0,8.62,9,2,1,Average
8.01,6.49,0,6.7,7,5,10,High
3.38,7.36,0,7.45,4,9,10,Average
5.43,4.69,1,5.97,5,9,7,Average
4.75,7.79,0,5.39,2,10,10,Average
4.09,4.72,0,2.09,4,9,10,Average
4.65,8.05,1,6.28,3,4,7,Average
0.0,6.25,1,6.72,8,2,5,Average
7.32,6.96,1,4.98,1,10,1,Negative
1.27,6.29,1,8.17,9,4,9,High
3.88,5.33,0,4.16,7,8,6,Average
4.3,5.89,1,0.59,10,4,8,High
5.78,3.95,0,7.0,9,6,3,Average
7.5,6.64,0,4.44,3,1,6,High
7.8,6.3,0,1.88,4,8,8,High
3.8,5.61,1,4.7,4,8,3,Negative
3.52,7.47,1,5.4,10,9,4,Average
5.45,6.8,0,6.84,8,3,5,High
1.08,6.46,1,2.25,7,4,3,Average
2.47,7.0,1,4.0,4,1,1,Average
5.44,6.97,1,2.5,2,5,6,Average
4.06,8.25,0,5.25,10,2,7,High
4.87,9.22,1,3.8,3,4,2,Average
5.23,8.52,1,4.86,1,10,2,Negative
7.66,7.35,1,0.5,9,6,5,High
2.84,5.87,1,6.4,5,8,8,Average
5.08,6.07,0,8.3,1,3,5,Average
4.15,6.67,0,5.48,9,2,9,High
2.27,6.8,1,1.21,2,9,7,Average
2.67,6.01,1,9.1,6,7,6,Average
3.84,7.01,0,2.74,1,8,2,Negative
2.61,7.33,0,5.21,6,7,3,Negative
6.4,9.47,1,7.29,5,5,8,High
5.7,7.53,0,4.59,1,1,1,Average
4.93,8.92,0,2.83,8,4,2,Average
5.03,6.31,0,5.71,7,7,1,Average
7.56,6.09,1,7.27,10,9,2,Average
5.37,9.97,1,0.5,4,6,1,Average
4.16,7.18,1,7.63,9,8,9,High
3.42,8.54,0,0.5,9,8,10,High
3.52,5.51,0,2.24,6,4,10,High
2.18,7.09,0,3.47,1,1,8,Average
2.39,8.07,0,6.87,2,5,5,Negative
5.91,6.51,1,7.14,5,4,4,Average
4.22,7.43,1,5.6,5,8,4,Average
4.87,6.47,1,7.73,10,6,5,High
7.22,6.29,0,5.88,6,1,10,High
3.54,7.13,1,0.59,1,7,9,Average
3.61,5.53,1,6.63,1,3,6,Average
4.56,7.41,0,7.57,7,10,8,Average
2.59,4.81,1,2.95,10,7,6,High
3.83,6.59,0,6.82,2,1,7,Average
6.43,6.93,0,5.52,2,9,1,Negative
1.93,6.86,1,4.34,9,2,1,Average
2.3,7.87,1,6.43,7,2,3,Average
2.76,5.51,1,3.65,3,1,7,High
2.24,5.47,0,5.1,8,5,3,Average
2.99,9.42,1,7.84,4,9,1,Negative
3.49,6.46,0,3.41,4,6,3,Average
